continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,aged_65_older
Europe,Albania,2020-03-09,2.0,2.0,0.0,0.0,,,13.188
Europe,Albania,2020-03-10,6.0,4.0,0.0,0.0,,,13.188
Europe,Albania,2020-03-11,10.0,4.0,0.0,0.0,,,13.188
Europe,Albania,2020-03-12,11.0,1.0,1.0,1.0,,,13.188
Europe,Albania,2020-03-13,23.0,12.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-14,33.0,10.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-15,38.0,5.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-16,42.0,4.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-17,51.0,9.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-18,55.0,4.0,1.0,0.0,,,13.188
Europe,Albania,2020-03-19,59.0,4.0,2.0,1.0,,,13.188
Europe,Albania,2020-03-20,70.0,11.0,2.0,0.0,,,13.188
Europe,Albania,2020-03-21,70.0,0.0,2.0,0.0,,,13.188
Europe,Albania,2020-03-22,76.0,6.0,2.0,0.0,,,13.188
Europe,Albania,2020-03-23,89.0,13.0,2.0,0.0,,,13.188
Europe,Albania,2020-03-24,100.0,11.0,4.0,2.0,,,13.188
Europe,Albania,2020-03-25,123.0,23.0,5.0,1.0,,,13.188
Europe,Albania,2020-03-26,146.0,23.0,5.0,0.0,,,13.188
Europe,Albania,2020-03-27,174.0,28.0,6.0,1.0,,,13.188
Europe,Albania,2020-03-28,186.0,12.0,9.0,3.0,,,13.188
Europe,Albania,2020-03-29,197.0,11.0,10.0,1.0,,,13.188
Europe,Albania,2020-03-30,212.0,15.0,10.0,0.0,,,13.188
Europe,Albania,2020-03-31,223.0,11.0,12.0,2.0,,,13.188
Europe,Albania,2020-04-01,243.0,20.0,15.0,3.0,,,13.188
Europe,Albania,2020-04-02,259.0,16.0,15.0,0.0,,,13.188
Europe,Albania,2020-04-03,277.0,18.0,16.0,1.0,,,13.188
Europe,Albania,2020-04-04,304.0,27.0,17.0,1.0,,,13.188
Europe,Albania,2020-04-05,333.0,29.0,19.0,2.0,,,13.188
Europe,Albania,2020-04-06,361.0,28.0,21.0,2.0,,,13.188
Europe,Albania,2020-04-07,377.0,16.0,22.0,1.0,,,13.188
Europe,Albania,2020-04-08,383.0,6.0,22.0,0.0,,,13.188
Europe,Albania,2020-04-09,400.0,17.0,22.0,0.0,,,13.188
Europe,Albania,2020-04-10,409.0,9.0,23.0,1.0,,,13.188
Europe,Albania,2020-04-11,416.0,7.0,23.0,0.0,,,13.188
Europe,Albania,2020-04-12,433.0,17.0,23.0,0.0,,,13.188
Europe,Albania,2020-04-13,446.0,13.0,23.0,0.0,,,13.188
Europe,Albania,2020-04-14,467.0,21.0,23.0,0.0,,,13.188
Europe,Albania,2020-04-15,475.0,8.0,24.0,1.0,,,13.188
Europe,Albania,2020-04-16,494.0,19.0,25.0,1.0,,,13.188
Europe,Albania,2020-04-17,518.0,24.0,26.0,1.0,,,13.188
Europe,Albania,2020-04-18,539.0,21.0,26.0,0.0,,,13.188
Europe,Albania,2020-04-19,548.0,9.0,26.0,0.0,,,13.188
Europe,Albania,2020-04-20,562.0,14.0,26.0,0.0,,,13.188
Europe,Albania,2020-04-21,584.0,22.0,26.0,0.0,,,13.188
Europe,Albania,2020-04-22,609.0,25.0,26.0,0.0,,,13.188
Europe,Albania,2020-04-23,634.0,25.0,27.0,1.0,,,13.188
Europe,Albania,2020-04-24,663.0,29.0,27.0,0.0,,,13.188
Europe,Albania,2020-04-25,678.0,15.0,27.0,0.0,,,13.188
Europe,Albania,2020-04-26,712.0,34.0,27.0,0.0,,,13.188
Europe,Albania,2020-04-27,726.0,14.0,28.0,1.0,,,13.188
Europe,Albania,2020-04-28,736.0,10.0,28.0,0.0,,,13.188
Europe,Albania,2020-04-29,750.0,14.0,30.0,2.0,,,13.188
Europe,Albania,2020-04-30,766.0,16.0,31.0,1.0,,,13.188
Europe,Albania,2020-05-01,773.0,7.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-02,782.0,9.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-03,789.0,7.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-04,795.0,6.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-05,803.0,8.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-06,820.0,17.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-07,832.0,12.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-08,842.0,10.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-09,850.0,8.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-10,856.0,6.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-11,868.0,12.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-12,872.0,4.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-13,876.0,4.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-14,880.0,4.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-15,898.0,18.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-16,916.0,18.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-17,933.0,17.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-18,946.0,13.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-19,948.0,2.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-20,949.0,1.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-21,964.0,15.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-22,969.0,5.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-23,981.0,12.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-24,989.0,8.0,31.0,0.0,,,13.188
Europe,Albania,2020-05-25,998.0,9.0,32.0,1.0,,,13.188
Europe,Albania,2020-05-26,1004.0,6.0,32.0,0.0,,,13.188
Europe,Albania,2020-05-27,1029.0,25.0,33.0,1.0,,,13.188
Europe,Albania,2020-05-28,1050.0,21.0,33.0,0.0,,,13.188
Europe,Albania,2020-05-29,1076.0,26.0,33.0,0.0,,,13.188
Europe,Albania,2020-05-30,1099.0,23.0,33.0,0.0,,,13.188
Europe,Albania,2020-05-31,1122.0,23.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-01,1137.0,15.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-02,1143.0,6.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-03,1164.0,21.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-04,1184.0,20.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-05,1197.0,13.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-06,1212.0,15.0,33.0,0.0,,,13.188
Europe,Albania,2020-06-07,1232.0,20.0,34.0,1.0,,,13.188
Europe,Albania,2020-06-08,1246.0,14.0,34.0,0.0,,,13.188
Europe,Albania,2020-06-09,1263.0,17.0,34.0,0.0,,,13.188
Europe,Albania,2020-06-10,1299.0,36.0,34.0,0.0,,,13.188
Europe,Albania,2020-06-11,1341.0,42.0,34.0,0.0,,,13.188
Europe,Albania,2020-06-12,1385.0,44.0,35.0,1.0,,,13.188
Europe,Albania,2020-06-13,1416.0,31.0,36.0,1.0,,,13.188
Europe,Albania,2020-06-14,1464.0,48.0,36.0,0.0,,,13.188
Europe,Albania,2020-06-15,1521.0,57.0,36.0,0.0,,,13.188
Europe,Albania,2020-06-16,1590.0,69.0,36.0,0.0,,,13.188
Europe,Albania,2020-06-17,1672.0,82.0,37.0,1.0,,,13.188
Europe,Albania,2020-06-18,1722.0,50.0,38.0,1.0,,,13.188
Europe,Albania,2020-06-19,1788.0,66.0,39.0,1.0,,,13.188
Europe,Albania,2020-06-20,1838.0,50.0,42.0,3.0,,,13.188
Europe,Albania,2020-06-21,1891.0,53.0,43.0,1.0,,,13.188
Europe,Albania,2020-06-22,1927.0,36.0,44.0,1.0,,,13.188
Europe,Albania,2020-06-23,1995.0,68.0,44.0,0.0,,,13.188
Europe,Albania,2020-06-24,2047.0,52.0,45.0,1.0,,,13.188
Europe,Albania,2020-06-25,2114.0,67.0,47.0,2.0,,,13.188
Europe,Albania,2020-06-26,2192.0,78.0,49.0,2.0,,,13.188
Europe,Albania,2020-06-27,2269.0,77.0,51.0,2.0,,,13.188
Europe,Albania,2020-06-28,2330.0,61.0,53.0,2.0,,,13.188
Europe,Albania,2020-06-29,2402.0,72.0,55.0,2.0,,,13.188
Europe,Albania,2020-06-30,2466.0,64.0,58.0,3.0,,,13.188
Europe,Albania,2020-07-01,2535.0,69.0,62.0,4.0,,,13.188
Europe,Albania,2020-07-02,2580.0,45.0,65.0,3.0,,,13.188
Europe,Albania,2020-07-03,2662.0,82.0,69.0,4.0,,,13.188
Europe,Albania,2020-07-04,2752.0,90.0,72.0,3.0,,,13.188
Europe,Albania,2020-07-05,2819.0,67.0,74.0,2.0,,,13.188
Europe,Albania,2020-07-06,2893.0,74.0,76.0,2.0,,,13.188
Europe,Albania,2020-07-07,2964.0,71.0,79.0,3.0,,,13.188
Europe,Albania,2020-07-08,3038.0,74.0,81.0,2.0,,,13.188
Europe,Albania,2020-07-09,3106.0,68.0,83.0,2.0,,,13.188
Europe,Albania,2020-07-10,3188.0,82.0,83.0,0.0,,,13.188
Europe,Albania,2020-07-11,3278.0,90.0,85.0,2.0,,,13.188
Europe,Albania,2020-07-12,3371.0,93.0,89.0,4.0,,,13.188
Europe,Albania,2020-07-13,3454.0,83.0,93.0,4.0,,,13.188
Europe,Albania,2020-07-14,3571.0,117.0,95.0,2.0,,,13.188
Europe,Albania,2020-07-15,3667.0,96.0,97.0,2.0,,,13.188
Europe,Albania,2020-07-16,3752.0,85.0,101.0,4.0,,,13.188
Europe,Albania,2020-07-17,3851.0,99.0,104.0,3.0,,,13.188
Europe,Albania,2020-07-18,3906.0,55.0,107.0,3.0,,,13.188
Europe,Albania,2020-07-19,4008.0,102.0,111.0,4.0,,,13.188
Europe,Albania,2020-07-20,4090.0,82.0,112.0,1.0,,,13.188
Europe,Albania,2020-07-21,4171.0,81.0,113.0,1.0,,,13.188
Europe,Albania,2020-07-22,4290.0,119.0,117.0,4.0,,,13.188
Europe,Albania,2020-07-23,4358.0,68.0,120.0,3.0,,,13.188
Europe,Albania,2020-07-24,4466.0,108.0,123.0,3.0,,,13.188
Europe,Albania,2020-07-25,4570.0,104.0,128.0,5.0,,,13.188
Europe,Albania,2020-07-26,4637.0,67.0,134.0,6.0,,,13.188
Europe,Albania,2020-07-27,4763.0,126.0,138.0,4.0,,,13.188
Europe,Albania,2020-07-28,4880.0,117.0,144.0,6.0,,,13.188
Europe,Albania,2020-07-29,4997.0,117.0,148.0,4.0,,,13.188
Europe,Albania,2020-07-30,5105.0,108.0,150.0,2.0,,,13.188
Europe,Albania,2020-07-31,5197.0,92.0,154.0,4.0,,,13.188
Europe,Albania,2020-08-01,5276.0,79.0,157.0,3.0,,,13.188
Europe,Albania,2020-08-02,5396.0,120.0,161.0,4.0,,,13.188
Europe,Albania,2020-08-03,5519.0,123.0,166.0,5.0,,,13.188
Europe,Albania,2020-08-04,5620.0,101.0,172.0,6.0,,,13.188
Europe,Albania,2020-08-05,5750.0,130.0,176.0,4.0,,,13.188
Europe,Albania,2020-08-06,5889.0,139.0,182.0,6.0,,,13.188
Europe,Albania,2020-08-07,6016.0,127.0,188.0,6.0,,,13.188
Europe,Albania,2020-08-08,6151.0,135.0,189.0,1.0,,,13.188
Europe,Albania,2020-08-09,6275.0,124.0,193.0,4.0,,,13.188
Europe,Albania,2020-08-10,6411.0,136.0,199.0,6.0,,,13.188
Europe,Albania,2020-08-11,6536.0,125.0,200.0,1.0,,,13.188
Europe,Albania,2020-08-12,6676.0,140.0,205.0,5.0,,,13.188
Europe,Albania,2020-08-13,6817.0,141.0,208.0,3.0,,,13.188
Europe,Albania,2020-08-14,6971.0,154.0,213.0,5.0,,,13.188
Europe,Albania,2020-08-15,7117.0,146.0,219.0,6.0,,,13.188
Europe,Albania,2020-08-16,7260.0,143.0,225.0,6.0,,,13.188
Europe,Albania,2020-08-17,7380.0,120.0,228.0,3.0,,,13.188
Europe,Albania,2020-08-18,7499.0,119.0,230.0,2.0,,,13.188
Europe,Albania,2020-08-19,7654.0,155.0,232.0,2.0,,,13.188
Europe,Albania,2020-08-20,7812.0,158.0,234.0,2.0,,,13.188
Europe,Albania,2020-08-21,7967.0,155.0,238.0,4.0,,,13.188
Europe,Albania,2020-08-22,8119.0,152.0,240.0,2.0,,,13.188
Europe,Albania,2020-08-23,8275.0,156.0,245.0,5.0,,,13.188
Europe,Albania,2020-08-24,8427.0,152.0,250.0,5.0,,,13.188
Europe,Albania,2020-08-25,8605.0,178.0,254.0,4.0,,,13.188
Europe,Albania,2020-08-26,8759.0,154.0,259.0,5.0,,,13.188
Europe,Albania,2020-08-27,8927.0,168.0,263.0,4.0,,,13.188
Europe,Albania,2020-08-28,9083.0,156.0,266.0,3.0,,,13.188
Europe,Albania,2020-08-29,9195.0,112.0,271.0,5.0,,,13.188
Europe,Albania,2020-08-30,9279.0,84.0,275.0,4.0,,,13.188
Europe,Albania,2020-08-31,9380.0,101.0,280.0,5.0,,,13.188
Europe,Albania,2020-09-01,9513.0,133.0,284.0,4.0,,,13.188
Europe,Albania,2020-09-02,9606.0,93.0,290.0,6.0,,,13.188
Europe,Albania,2020-09-03,9728.0,122.0,296.0,6.0,,,13.188
Europe,Albania,2020-09-04,9844.0,116.0,301.0,5.0,,,13.188
Europe,Albania,2020-09-05,9967.0,123.0,306.0,5.0,,,13.188
Europe,Albania,2020-09-06,10102.0,135.0,312.0,6.0,,,13.188
Europe,Albania,2020-09-07,10255.0,153.0,316.0,4.0,,,13.188
Europe,Albania,2020-09-08,10406.0,151.0,319.0,3.0,,,13.188
Europe,Albania,2020-09-09,10553.0,147.0,321.0,2.0,,,13.188
Europe,Albania,2020-09-10,10704.0,151.0,322.0,1.0,,,13.188
Europe,Albania,2020-09-11,10860.0,156.0,324.0,2.0,,,13.188
Europe,Albania,2020-09-12,11021.0,161.0,327.0,3.0,,,13.188
Europe,Albania,2020-09-13,11185.0,164.0,330.0,3.0,,,13.188
Europe,Albania,2020-09-14,11353.0,168.0,334.0,4.0,,,13.188
Europe,Albania,2020-09-15,11520.0,167.0,338.0,4.0,,,13.188
Europe,Albania,2020-09-16,11672.0,152.0,340.0,2.0,,,13.188
Europe,Albania,2020-09-17,11816.0,144.0,343.0,3.0,,,13.188
Europe,Albania,2020-09-18,11948.0,132.0,348.0,5.0,,,13.188
Europe,Albania,2020-09-19,12073.0,125.0,353.0,5.0,,,13.188
Europe,Andorra,2020-03-03,1.0,1.0,0.0,0.0,,,
Europe,Andorra,2020-03-09,,,,,,,
Europe,Andorra,2020-03-10,,,,,,,
Europe,Andorra,2020-03-11,,,,,,,
Europe,Andorra,2020-03-12,,,,,,,
Europe,Andorra,2020-03-13,,,,,,,
Europe,Andorra,2020-03-14,2.0,1.0,0.0,0.0,,,
Europe,Andorra,2020-03-15,,,,,,,
Europe,Andorra,2020-03-16,5.0,3.0,0.0,0.0,,,
Europe,Andorra,2020-03-17,14.0,9.0,0.0,0.0,,,
Europe,Andorra,2020-03-18,14.0,0.0,0.0,0.0,,,
Europe,Andorra,2020-03-19,53.0,39.0,0.0,0.0,,,
Europe,Andorra,2020-03-20,75.0,22.0,0.0,0.0,,,
Europe,Andorra,2020-03-21,75.0,0.0,0.0,0.0,,,
Europe,Andorra,2020-03-22,88.0,13.0,0.0,0.0,,,
Europe,Andorra,2020-03-23,113.0,25.0,0.0,0.0,,,
Europe,Andorra,2020-03-24,133.0,20.0,0.0,0.0,,,
Europe,Andorra,2020-03-25,164.0,31.0,0.0,0.0,,,
Europe,Andorra,2020-03-26,188.0,24.0,0.0,0.0,,,
Europe,Andorra,2020-03-27,224.0,36.0,3.0,3.0,,,
Europe,Andorra,2020-03-28,267.0,43.0,3.0,0.0,,,
Europe,Andorra,2020-03-29,308.0,41.0,4.0,1.0,,,
Europe,Andorra,2020-03-30,334.0,26.0,6.0,2.0,,,
Europe,Andorra,2020-03-31,370.0,36.0,8.0,2.0,,,
Europe,Andorra,2020-04-01,376.0,6.0,12.0,4.0,,,
Europe,Andorra,2020-04-02,390.0,14.0,14.0,2.0,,,
Europe,Andorra,2020-04-03,428.0,38.0,15.0,1.0,,,
Europe,Andorra,2020-04-04,439.0,11.0,16.0,1.0,,,
Europe,Andorra,2020-04-05,466.0,27.0,17.0,1.0,,,
Europe,Andorra,2020-04-06,501.0,35.0,18.0,1.0,,,
Europe,Andorra,2020-04-07,526.0,25.0,21.0,3.0,,,
Europe,Andorra,2020-04-08,545.0,19.0,22.0,1.0,,,
Europe,Andorra,2020-04-09,564.0,19.0,23.0,1.0,,,
Europe,Andorra,2020-04-10,583.0,19.0,25.0,2.0,,,
Europe,Andorra,2020-04-11,601.0,18.0,26.0,1.0,,,
Europe,Andorra,2020-04-12,622.0,21.0,28.0,2.0,,,
Europe,Andorra,2020-04-13,638.0,16.0,29.0,1.0,,,
Europe,Andorra,2020-04-14,646.0,8.0,29.0,0.0,,,
Europe,Andorra,2020-04-15,659.0,13.0,31.0,2.0,,,
Europe,Andorra,2020-04-16,673.0,14.0,33.0,2.0,,,
Europe,Andorra,2020-04-17,682.0,9.0,33.0,0.0,,,
Europe,Andorra,2020-04-18,696.0,14.0,35.0,2.0,,,
Europe,Andorra,2020-04-19,704.0,8.0,35.0,0.0,,,
Europe,Andorra,2020-04-20,713.0,9.0,36.0,1.0,,,
Europe,Andorra,2020-04-21,717.0,4.0,36.0,0.0,,,
Europe,Andorra,2020-04-22,717.0,0.0,37.0,1.0,,,
Europe,Andorra,2020-04-23,723.0,6.0,37.0,0.0,,,
Europe,Andorra,2020-04-24,724.0,1.0,37.0,0.0,,,
Europe,Andorra,2020-04-25,731.0,7.0,40.0,3.0,,,
Europe,Andorra,2020-04-26,733.0,2.0,40.0,0.0,,,
Europe,Andorra,2020-04-27,740.0,7.0,40.0,0.0,,,
Europe,Andorra,2020-04-28,743.0,3.0,40.0,0.0,,,
Europe,Andorra,2020-04-29,743.0,0.0,41.0,1.0,,,
Europe,Andorra,2020-04-30,743.0,0.0,42.0,1.0,,,
Europe,Andorra,2020-05-01,745.0,2.0,42.0,0.0,,,
Europe,Andorra,2020-05-02,746.0,1.0,43.0,1.0,,,
Europe,Andorra,2020-05-03,747.0,1.0,44.0,1.0,,,
Europe,Andorra,2020-05-04,748.0,1.0,45.0,1.0,,,
Europe,Andorra,2020-05-05,750.0,2.0,45.0,0.0,,,
Europe,Andorra,2020-05-06,751.0,1.0,46.0,1.0,,,
Europe,Andorra,2020-05-07,751.0,0.0,46.0,0.0,,,
Europe,Andorra,2020-05-08,752.0,1.0,47.0,1.0,,,
Europe,Andorra,2020-05-09,752.0,0.0,47.0,0.0,,,
Europe,Andorra,2020-05-10,754.0,2.0,48.0,1.0,,,
Europe,Andorra,2020-05-11,755.0,1.0,48.0,0.0,,,
Europe,Andorra,2020-05-12,756.0,1.0,48.0,0.0,,,
Europe,Andorra,2020-05-13,758.0,2.0,48.0,0.0,,,
Europe,Andorra,2020-05-14,760.0,2.0,49.0,1.0,,,
Europe,Andorra,2020-05-15,761.0,1.0,49.0,0.0,,,
Europe,Andorra,2020-05-16,761.0,0.0,49.0,0.0,,,
Europe,Andorra,2020-05-17,761.0,0.0,51.0,2.0,,,
Europe,Andorra,2020-05-18,761.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-19,761.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-20,761.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-21,762.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-05-22,762.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-23,762.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-24,762.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-25,763.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-05-26,763.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-27,763.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-28,763.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-29,763.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-05-30,764.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-05-31,764.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-01,764.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-02,765.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-06-03,844.0,79.0,51.0,0.0,,,
Europe,Andorra,2020-06-04,851.0,7.0,51.0,0.0,,,
Europe,Andorra,2020-06-05,852.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-06-06,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-07,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-08,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-09,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-10,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-11,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-12,852.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-13,853.0,1.0,51.0,0.0,,,
Europe,Andorra,2020-06-14,853.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-15,853.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-16,853.0,0.0,51.0,0.0,,,
Europe,Andorra,2020-06-17,854.0,1.0,52.0,1.0,,,
Europe,Andorra,2020-06-18,854.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-19,855.0,1.0,52.0,0.0,,,
Europe,Andorra,2020-06-20,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-21,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-22,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-23,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-24,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-25,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-26,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-27,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-28,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-29,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-06-30,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-01,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-02,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-03,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-04,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-05,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-06,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-07,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-08,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-09,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-10,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-11,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-12,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-13,855.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-14,858.0,3.0,52.0,0.0,,,
Europe,Andorra,2020-07-15,861.0,3.0,52.0,0.0,,,
Europe,Andorra,2020-07-16,862.0,1.0,52.0,0.0,,,
Europe,Andorra,2020-07-17,877.0,15.0,52.0,0.0,,,
Europe,Andorra,2020-07-18,880.0,3.0,52.0,0.0,,,
Europe,Andorra,2020-07-19,880.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-20,880.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-21,884.0,4.0,52.0,0.0,,,
Europe,Andorra,2020-07-22,884.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-23,889.0,5.0,52.0,0.0,,,
Europe,Andorra,2020-07-24,889.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-25,889.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-26,897.0,8.0,52.0,0.0,,,
Europe,Andorra,2020-07-27,897.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-28,907.0,10.0,52.0,0.0,,,
Europe,Andorra,2020-07-29,907.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-07-30,918.0,11.0,52.0,0.0,,,
Europe,Andorra,2020-07-31,922.0,4.0,52.0,0.0,,,
Europe,Andorra,2020-08-01,925.0,3.0,52.0,0.0,,,
Europe,Andorra,2020-08-02,925.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-08-03,925.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-08-04,937.0,12.0,52.0,0.0,,,
Europe,Andorra,2020-08-05,939.0,2.0,52.0,0.0,,,
Europe,Andorra,2020-08-06,939.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-08-07,944.0,5.0,52.0,0.0,,,
Europe,Andorra,2020-08-08,955.0,11.0,52.0,0.0,,,
Europe,Andorra,2020-08-09,956.0,1.0,52.0,0.0,,,
Europe,Andorra,2020-08-10,956.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-08-11,963.0,7.0,52.0,0.0,,,
Europe,Andorra,2020-08-12,963.0,0.0,52.0,0.0,,,
Europe,Andorra,2020-08-13,977.0,14.0,53.0,1.0,,,
Europe,Andorra,2020-08-14,981.0,4.0,53.0,0.0,,,
Europe,Andorra,2020-08-15,989.0,8.0,53.0,0.0,,,
Europe,Andorra,2020-08-16,989.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-17,989.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-18,1005.0,16.0,53.0,0.0,,,
Europe,Andorra,2020-08-19,1005.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-20,1024.0,19.0,53.0,0.0,,,
Europe,Andorra,2020-08-21,1024.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-22,1045.0,21.0,53.0,0.0,,,
Europe,Andorra,2020-08-23,1045.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-24,1045.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-25,1060.0,15.0,53.0,0.0,,,
Europe,Andorra,2020-08-26,1060.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-27,1098.0,38.0,53.0,0.0,,,
Europe,Andorra,2020-08-28,1098.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-29,1124.0,26.0,53.0,0.0,,,
Europe,Andorra,2020-08-30,1124.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-08-31,1124.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-01,1176.0,52.0,53.0,0.0,,,
Europe,Andorra,2020-09-02,1184.0,8.0,53.0,0.0,,,
Europe,Andorra,2020-09-03,1199.0,15.0,53.0,0.0,,,
Europe,Andorra,2020-09-04,1199.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-05,1215.0,16.0,53.0,0.0,,,
Europe,Andorra,2020-09-06,1215.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-07,1215.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-08,1261.0,46.0,53.0,0.0,,,
Europe,Andorra,2020-09-09,1261.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-10,1301.0,40.0,53.0,0.0,,,
Europe,Andorra,2020-09-11,1301.0,0.0,53.0,0.0,,,
Europe,Andorra,2020-09-12,1344.0,43.0,53.0,0.0,,,
Europe,Andorra,2020-09-13,1344.0,0.0,53.0,0.0,,,
